date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
,ME Milnes,Kent,Surrey,"Kennington Oval, London",,19,27.85613653,32.51023965,6.867475391,1,1
,Qais Ahmad,Kent,Surrey,"Kennington Oval, London",,9,13.70634921,12.61111111,8.083586745,0,0
,JA Leaning,Kent,Surrey,"Kennington Oval, London",,9,30.62222222,52.31111111,4.20205196,0,0
,DI Stevens,Kent,Surrey,"Kennington Oval, London",,25,24.54023186,42.38184573,5.735551455,3,2
,D Moriarty,Surrey,Kent,"Kennington Oval, London",,20,23.73028078,29.40083607,5.521952729,2,1
,AAP Atkinson,Surrey,Kent,"Kennington Oval, London",,9,26.58518519,21.7962963,7.82198395,2,0
,J Clark,Surrey,Kent,"Kennington Oval, London",,15,19.73842593,25.00138889,6.495287737,3,0
,J Overton,Surrey,Kent,"Kennington Oval, London",,14,33.96753247,63.04220779,6.207039181,0,0
,GJ Batty,Surrey,Kent,"Kennington Oval, London",,9,20.14583333,17.39583333,6.612962963,0,0
,C McKerr,Surrey,Kent,"Kennington Oval, London",,17,22.81862745,23.64460784,7.00606174,1,0
,JG Bethell,Birmingham Bears,Worcestershire,"County Ground, New Road, Worcester",,10,21.85416667,27.94791667,7.120063323,1,0
,RM Yates,Birmingham Bears,Worcestershire,"County Ground, New Road, Worcester",,8,19.37142857,34.85714286,4.51591803,0,0
,CN Miles,Birmingham Bears,Worcestershire,"County Ground, New Road, Worcester",,19,35.23765432,42.94612795,6.490510153,2,1
,RN Sidebottom,Birmingham Bears,Worcestershire,"County Ground, New Road, Worcester",,4,26,25.25,4.499842808,0,1
,WMH Rhodes,Birmingham Bears,Worcestershire,"County Ground, New Road, Worcester",,19,15.39933166,26.01349206,5.098331217,2,4
,JB Lintott,Birmingham Bears,Worcestershire,"County Ground, New Road, Worcester",,8,9.091666667,8.125,6.456614372,1,0
,BJ Dwarshuis,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,18,16.14178241,11.7037037,9.171553532,1,1
,DY Pennington,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,14,31.50408654,52.99903846,6.32654875,2,0
,CAJ Morris,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,21,30.93704762,34.13431746,7.156405505,0,2
,IS Sodhi,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,20,17.03611111,14.42222222,8.102675439,3,4
,DKH Mitchell,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,9,24.275,28.625,5.3576112,0,0
,EG Barnard,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,26,28.63552889,49.42880415,6.030584595,1,0
,BL D'Oliveira,Worcestershire,Birmingham Bears,"County Ground, New Road, Worcester",,19,32.30185621,61.60627451,4.37046679,0,3
,DMW Rawlins,Sussex,Essex,"County Ground, Hove",,7,16.1875,24.75,4.390763681,0,0
,OE Robinson,Sussex,Essex,"County Ground, Hove",,13,19.40512821,37.16538462,3.781804163,5,2
,CJ Jordan,Sussex,Essex,"County Ground, Hove",,15,22.46853147,18.60559441,8.219831933,0,3
,D Wiese,Sussex,Essex,"County Ground, Hove",,15,27.104,20.96422222,7.806426066,0,2
,WAT Beer,Sussex,Essex,"County Ground, Hove",,15,20.48330241,23.49814471,6.46605291,0,1
,AC Lenham,Sussex,Essex,"County Ground, Hove",,12,26.65928819,25.38671875,7.100867606,2,1
,RS Bopara,Sussex,Essex,"County Ground, Hove",,6,11.66666667,10.33333333,7.875,0,0
,ASS Nijjar,Essex,Sussex,"County Ground, Hove",,20,30.37321429,34.325,6.244467676,0,2
,SJ Cook,Essex,Sussex,"County Ground, Hove",,18,21.18145743,39.51731602,5.119379988,5,0
,JH Plom,Essex,Sussex,"County Ground, Hove",,12,16.86154514,11.27430556,8.738247216,0,1
,JDS Neesham,Essex,Sussex,"County Ground, Hove",,22,15.177,13.42646154,7.499156978,1,0
,SR Harmer,Essex,Sussex,"County Ground, Hove",,30,21.24605804,36.48008117,4.932520062,6,1
,PI Walter,Essex,Sussex,"County Ground, Hove",,11,4.666666667,4.416666667,7.348736718,0,0
,SR Patel,Nottinghamshire,Yorkshire,"Trent Bridge, Nottingham",,13,17.6525641,14.40769231,7.012807018,0,1
,M Carter,Nottinghamshire,Yorkshire,"Trent Bridge, Nottingham",,11,16.85925926,14.8,7.530239234,0,0
,LJ Fletcher,Nottinghamshire,Yorkshire,"Trent Bridge, Nottingham",,22,22.96538124,37.74330223,6.142778018,4,0
,D Paterson,Nottinghamshire,Yorkshire,"Trent Bridge, Nottingham",,15,30.20147392,40.9345805,5.976747783,1,2
,DM Bess,Yorkshire,Nottinghamshire,"Trent Bridge, Nottingham",,24,23.54935725,46.80703726,4.552923902,3,0
,MD Fisher,Yorkshire,Nottinghamshire,"Trent Bridge, Nottingham",,9,26.62962963,22.98412698,7.84047619,0,0
,MJ Waite,Yorkshire,Nottinghamshire,"Trent Bridge, Nottingham",,17,20.88287582,16.70881046,7.597675941,1,0
,JE Poysden,Yorkshire,Nottinghamshire,"Trent Bridge, Nottingham",,0,0,0,0,0,0
2021-07-16,ASS Nijjar,Essex,Hampshire,"The Rose Bowl, Southampton",,21,29.3792517,33.19047619,6.205615474,0,2
,SJ Cook,Essex,Hampshire,"The Rose Bowl, Southampton",,19,21.18145743,39.51731602,5.341167006,5,3
,DW Lawrence,Essex,Hampshire,"The Rose Bowl, Southampton",,10,20.3625,33.24375,6.118543645,0,0
,S Snater,Essex,Hampshire,"The Rose Bowl, Southampton",,11,35.14261664,37.97594998,5.304999024,2,1
,SR Harmer,Essex,Hampshire,"The Rose Bowl, Southampton",,31,21.10908843,36.10975597,4.905019415,6,2
,PI Walter,Essex,Hampshire,"The Rose Bowl, Southampton",,12,4.666666667,4.416666667,7.153008658,0,0
,JDS Neesham,Essex,Hampshire,"The Rose Bowl, Southampton",,23,15.177,13.42646154,7.590497979,1,0
,CP Wood,Hampshire,Essex,"The Rose Bowl, Southampton",,7,18.28571429,15.85714286,7.322406015,0,3
,LA Dawson,Hampshire,Essex,"The Rose Bowl, Southampton",,10,44.20833333,79.33333333,5.06658603,0,1
,BTJ Wheal,Hampshire,Essex,"The Rose Bowl, Southampton",,17,21.64874994,30.39121989,5.200460374,0,2
,SW Currie,Hampshire,Essex,"The Rose Bowl, Southampton",,10,16.01833333,16.115,6.676307082,3,1
,MS Crane,Hampshire,Essex,"The Rose Bowl, Southampton",,12,18.86736111,24.35833333,6.439499675,0,2
,DJM Short,Hampshire,Essex,"The Rose Bowl, Southampton",,15,11.16507937,10.70190476,10.04787135,0,1
,LA Dawson,Hampshire,Sussex,"The Rose Bowl, Southampton",,11,42.46212121,74.3030303,5.174169118,0,2
,BTJ Wheal,Hampshire,Sussex,"The Rose Bowl, Southampton",,18,21.05715272,29.11948545,5.400434798,0,1
,SW Currie,Hampshire,Sussex,"The Rose Bowl, Southampton",,11,16.74393939,16.28636364,6.796642802,3,2
,C de Grandhomme,Hampshire,Sussex,"The Rose Bowl, Southampton",,7,10.9375,23.25,6.389702258,1,0
,MS Crane,Hampshire,Sussex,"The Rose Bowl, Southampton",,13,18.80064103,23.40769231,6.636461239,0,0
,DJM Short,Hampshire,Sussex,"The Rose Bowl, Southampton",,16,11.2172619,10.78303571,9.794879386,0,1
,D Wiese,Sussex,Hampshire,"The Rose Bowl, Southampton",,16,26.285,20.40395833,7.756024437,0,0
,OE Robinson,Sussex,Hampshire,"The Rose Bowl, Southampton",,14,18.59047619,35.36785714,3.79738958,5,1
,ME Claydon,Sussex,Hampshire,"The Rose Bowl, Southampton",,3,33,26.83333333,8.391052632,0,0
,Rashid Khan,Sussex,Hampshire,"The Rose Bowl, Southampton",,15,18.49506494,21.38225108,5.336957986,2,1
,AC Lenham,Sussex,Hampshire,"The Rose Bowl, Southampton",,13,26.60857372,24.81850962,7.221313688,2,0
,DMW Rawlins,Sussex,Hampshire,"The Rose Bowl, Southampton",,8,16.1875,24.75,5.11114899,0,0
,RS Bopara,Sussex,Hampshire,"The Rose Bowl, Southampton",,7,11.66666667,10.33333333,7.974489796,0,0
,WAT Beer,Sussex,Hampshire,"The Rose Bowl, Southampton",,16,20.07809601,22.77951067,6.499424603,0,2
,WG Jacks,Surrey,Gloucestershire,"College Ground, Cheltenham",,12,17.9640625,29.80625,6.300631313,0,0
,AAP Atkinson,Surrey,Gloucestershire,"College Ground, Cheltenham",,10,26.58518519,21.7962963,7.639785555,2,4
,C McKerr,Surrey,Gloucestershire,"College Ground, Cheltenham",,18,22.81862745,23.64460784,7.246465718,1,0
,J Clark,Surrey,Gloucestershire,"College Ground, Cheltenham",,16,19.73842593,25.00138889,6.63099892,3,1
,GJ Batty,Surrey,Gloucestershire,"College Ground, Cheltenham",,10,20.14583333,17.39583333,6.951666667,0,2
,D Moriarty,Surrey,Gloucestershire,"College Ground, Cheltenham",,21,23.83836265,29.1436534,5.568526409,2,2
,R Clarke,Surrey,Gloucestershire,"College Ground, Cheltenham",,17,33.72087585,70.75398597,4.053232762,0,0
,GD Phillips,Gloucestershire,Surrey,"College Ground, Cheltenham",,10,13.5,15.9,6.558226601,0,0
,DJ Worrall,Gloucestershire,Surrey,"College Ground, Cheltenham",,23,25.95942982,38.68873355,5.726789952,3,0
,J Shaw,Gloucestershire,Surrey,"College Ground, Cheltenham",,20,23.3,26.64375,6.705067035,2,1
,RF Higgins,Gloucestershire,Surrey,"College Ground, Cheltenham",,16,25.01878479,45.42799165,5.583094363,2,1
,BAC Howell,Gloucestershire,Surrey,"College Ground, Cheltenham",,10,13.01309524,8.9,8.445526316,2,1
,TMJ Smith,Gloucestershire,Surrey,"College Ground, Cheltenham",,23,38.41436638,64.85707833,5.376182895,0,0
,GFB Scott,Gloucestershire,Surrey,"College Ground, Cheltenham",,7,7.666666667,26,5.224175824,0,0
,BJ Dwarshuis,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,19,16.55537281,12.0877193,9.087732155,1,1
,DY Pennington,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,15,31.50408654,52.99903846,6.56192169,2,2
,CAJ Morris,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,22,29.71263636,32.85548485,7.012932527,0,0
,IS Sodhi,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,21,16.51058201,14.02116402,8.002548037,4,0
,EG Barnard,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,27,28.63552889,49.42880415,6.103525906,1,1
,BL D'Oliveira,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,20,30.95343007,58.92596078,4.351943451,0,1
,DKH Mitchell,Worcestershire,Birmingham Bears,"Edgbaston, Birmingham",,10,24.275,28.625,6.22185008,0,0
,DR Briggs,Birmingham Bears,Worcestershire,"Edgbaston, Birmingham",,25,26.78112287,29.18847737,6.073105283,2,2
,RM Yates,Birmingham Bears,Worcestershire,"Edgbaston, Birmingham",,9,19.37142857,34.85714286,5.01414936,0,0
,CR Brathwaite,Birmingham Bears,Worcestershire,"Edgbaston, Birmingham",,25,15.81561434,12.16245738,7.711283877,1,0
,CN Miles,Birmingham Bears,Worcestershire,"Edgbaston, Birmingham",,20,34.9257716,41.74882155,6.623879383,2,2
,JB Lintott,Birmingham Bears,Worcestershire,"Edgbaston, Birmingham",,9,9.091666667,8.125,6.544768331,1,1
,WMH Rhodes,Birmingham Bears,Worcestershire,"Edgbaston, Birmingham",,20,15.05436508,25.01281746,5.268414656,3,1
,Mujeeb Ur Rahman,Middlesex,Kent,"Lord's, London",,15,17.39166667,18.39722222,6.761841164,0,2
,TG Helm,Middlesex,Kent,"Lord's, London",,9,20.7,29.825,6.102741546,0,1
,ST Finn,Middlesex,Kent,"Lord's, London",,13,22.29583333,19.14583333,8.027491483,3,0
,BC Cullen,Middlesex,Kent,"Lord's, London",,13,16.94426638,23.53757123,8.575816409,1,4
,NA Sowter,Middlesex,Kent,"Lord's, London",,12,20.4224537,30.46412037,6.316880342,0,1
,MK O'Riordan,Kent,Middlesex,"Lord's, London",,7,19.5,12.25,5.379714627,0,1
,MR Quinn,Kent,Middlesex,"Lord's, London",,11,22.05,34.86,4.236240523,2,2
,HW Podmore,Kent,Middlesex,"Lord's, London",,7,28.61631944,36.81076389,5.71952862,1,2
,SM Sharif,Kent,Middlesex,"Lord's, London",,0,0,0,0,0,2
,EO Hooper,Kent,Middlesex,"Lord's, London",,0,0,0,0,0,3
,AG Salter,Glamorgan,Somerset,"Sophia Gardens, Cardiff",,17,23.61830357,31.5390625,6.258296914,1,0
,RAJ Smith,Glamorgan,Somerset,"Sophia Gardens, Cardiff",,4,22.875,18.75,7.035,0,0
,T van der Gugten,Glamorgan,Somerset,"Sophia Gardens, Cardiff",,15,30.94467014,52.49525174,5.616615549,3,1
,DA Douthwaite,Glamorgan,Somerset,"Sophia Gardens, Cardiff",,19,23.54847873,29.16373286,6.084289542,0,1
,RI Walker,Glamorgan,Somerset,"Sophia Gardens, Cardiff",,5,29.2,32.4,6.228341198,0,3
,M Labuschagne,Glamorgan,Somerset,"Sophia Gardens, Cardiff",,19,11.49881388,9.461059065,6.686349646,0,0
,MJ Leach,Somerset,Glamorgan,"Sophia Gardens, Cardiff",,12,30.73968254,60.17361111,3.654823169,2,2
,C Overton,Somerset,Glamorgan,"Sophia Gardens, Cardiff",,18,20.38628472,33.00694444,5.004464852,1,1
,M de Lange,Somerset,Glamorgan,"Sophia Gardens, Cardiff",,18,27.71547068,35.34927662,6.008303698,1,1
,LP Goldsworthy,Somerset,Glamorgan,"Sophia Gardens, Cardiff",,16,17.1953125,16.59375,6.513853458,0,3
,RE van der Merwe,Somerset,Glamorgan,"Sophia Gardens, Cardiff",,5,4.5,13.5,5.033294483,1,3
,CF Parkinson,Leicestershire,Nottinghamshire,"Grace Road, Leicester",,20,40.00833333,50.48541667,6.004628213,2,1
,Naveen-ul-Haq,Leicestershire,Nottinghamshire,"Grace Road, Leicester",,15,20.44444444,15.42222222,7.886967071,1,3
,CN Ackermann,Leicestershire,Nottinghamshire,"Grace Road, Leicester",,18,21.90408163,24.4914966,7.207367145,0,3
,GT Griffiths,Leicestershire,Nottinghamshire,"Grace Road, Leicester",,19,43.16907895,43.225,7.863022788,1,2
,BWM Mike,Leicestershire,Nottinghamshire,"Grace Road, Leicester",,21,32.62980982,44.65726291,7.425986276,2,0
,AM Lilley,Leicestershire,Nottinghamshire,"Grace Road, Leicester",,13,20.75308642,24.20987654,7.666305106,0,1
,SR Patel,Nottinghamshire,Leicestershire,"Grace Road, Leicester",,14,16.89166667,14.23571429,6.761892231,0,0
,M Carter,Nottinghamshire,Leicestershire,"Grace Road, Leicester",,12,16.85925926,14.8,7.694385965,0,1
,D Paterson,Nottinghamshire,Leicestershire,"Grace Road, Leicester",,16,28.4701318,38.56366922,5.915701047,1,1
,ZJ Chappell,Nottinghamshire,Leicestershire,"Grace Road, Leicester",,3,43.75,90,3.204100208,0,1
,CG Harrison,Nottinghamshire,Leicestershire,"Grace Road, Leicester",,10,14.59166667,10.38333333,6.923421053,1,2
,SJ Mullaney,Nottinghamshire,Leicestershire,"Grace Road, Leicester",,14,23.66153846,32.26153846,6.508333333,0,3
2021-07-17,SJ Croft,Lancashire,Yorkshire,"Old Trafford, Manchester",,11,18.14393939,16.5959596,5.653647105,0,0
,TW Hartley,Lancashire,Yorkshire,"Old Trafford, Manchester",,13,10.88111888,11.31468531,5.921533821,1,0
,L Wood,Lancashire,Yorkshire,"Old Trafford, Manchester",,18,31.21308321,40.35064935,6.696697536,0,4
,LJ Hurt,Lancashire,Yorkshire,"Old Trafford, Manchester",,7,32.93809524,33.56190476,6.263565019,1,1
,DJ Lamb,Lancashire,Yorkshire,"Old Trafford, Manchester",,22,25.05606811,30.57357304,6.204255525,3,1
,LWP Wells,Lancashire,Yorkshire,"Old Trafford, Manchester",,7,28.75,30.5,6.94047619,0,1
,MD Fisher,Yorkshire,Lancashire,"Old Trafford, Manchester",,10,26.62962963,22.98412698,7.999285714,0,1
,A Lyth,Yorkshire,Lancashire,"Old Trafford, Manchester",,5,3.6,3.6,10.37802198,0,0
,MJ Waite,Yorkshire,Lancashire,"Old Trafford, Manchester",,18,20.88287582,16.70881046,7.8422495,1,2
,JE Root,Yorkshire,Lancashire,"Old Trafford, Manchester",,12,22.8640625,40.50208333,5.027556264,1,2
,DM Bess,Yorkshire,Lancashire,"Old Trafford, Manchester",,25,23.54935725,46.80703726,5.090806946,3,1
,JA Thompson,Yorkshire,Lancashire,"Old Trafford, Manchester",,18,25.84787088,41.3956044,6.910278156,1,0
2021-07-18,LA Dawson,Hampshire,Glamorgan,"The Rose Bowl, Southampton",,12,39.54861111,69.11111111,5.055488359,0,1
,CP Wood,Hampshire,Glamorgan,"The Rose Bowl, Southampton",,8,17.41666667,14.91666667,7.427105263,0,0
,BTJ Wheal,Hampshire,Glamorgan,"The Rose Bowl, Southampton",,19,21.63309205,28.95530201,5.504865355,0,3
,SW Currie,Hampshire,Glamorgan,"The Rose Bowl, Southampton",,12,17.64027778,15.92916667,7.376089235,3,0
,MS Crane,Hampshire,Glamorgan,"The Rose Bowl, Southampton",,14,18.80064103,23.40769231,6.76957115,0,0
,DJM Short,Hampshire,Glamorgan,"The Rose Bowl, Southampton",,17,12.43977591,11.26638655,9.813137255,0,0
,SJ Pearce,Glamorgan,Hampshire,"The Rose Bowl, Southampton",,3,0,0,8.922222222,0,0
,AG Salter,Glamorgan,Hampshire,"The Rose Bowl, Southampton",,18,23.61830357,31.5390625,6.355058197,1,2
,T van der Gugten,Glamorgan,Hampshire,"The Rose Bowl, Southampton",,16,31.82312826,50.7142985,5.968702077,3,0
,RI Walker,Glamorgan,Hampshire,"The Rose Bowl, Southampton",,6,25.22222222,28.38888889,5.830284332,0,0
,DA Douthwaite,Glamorgan,Hampshire,"The Rose Bowl, Southampton",,20,24.2210548,28.75554622,6.308646494,0,0
,M Labuschagne,Glamorgan,Hampshire,"The Rose Bowl, Southampton",,20,11.49881388,9.461059065,6.827032164,0,2
,OE Robinson,Sussex,Kent,"St Lawrence Ground, Canterbury",,15,20.01777778,34.34333333,4.344230275,5,0
,JC Archer,Sussex,Kent,"St Lawrence Ground, Canterbury",,8,19.86342593,30.53761574,6.06175954,1,0
,D Wiese,Sussex,Kent,"St Lawrence Ground, Canterbury",,17,26.285,20.40395833,7.770375941,0,2
,WAT Beer,Sussex,Kent,"St Lawrence Ground, Canterbury",,17,19.48526683,21.96895122,6.509262372,0,1
,Rashid Khan,Sussex,Kent,"St Lawrence Ground, Canterbury",,16,19.90162338,21.60836039,5.618398111,2,1
,RS Bopara,Sussex,Kent,"St Lawrence Ground, Canterbury",,8,11.66666667,10.33333333,7.727678571,0,3
,EO Hooper,Kent,Sussex,"St Lawrence Ground, Canterbury",,1,8.333333333,8.333333333,6,0,1
,MK O'Riordan,Kent,Sussex,"St Lawrence Ground, Canterbury",,8,19.3125,13.71875,5.269750299,0,2
,MR Quinn,Kent,Sussex,"St Lawrence Ground, Canterbury",,12,20.75416667,32.66333333,4.265573421,2,0
,SM Sharif,Kent,Sussex,"St Lawrence Ground, Canterbury",,1,5.5,9.5,3.473684211,0,0
,HW Podmore,Kent,Sussex,"St Lawrence Ground, Canterbury",,8,25.85177951,33.3344184,5.546254209,1,3
,Mohammad Nabi,Northamptonshire,Birmingham Bears,"Edgbaston, Birmingham",,19,24.66788064,24.87253289,6.963782909,0,2
,TAI Taylor,Northamptonshire,Birmingham Bears,"Edgbaston, Birmingham",,25,26.26386719,37.33216831,6.735757867,1,1
,BD Glover,Northamptonshire,Birmingham Bears,"Edgbaston, Birmingham",,6,22.4,14.8,9.123437761,0,0
,GG White,Northamptonshire,Birmingham Bears,"Edgbaston, Birmingham",,14,20.28525641,20.42948718,7.346978022,1,1
,FJ Heldreich,Northamptonshire,Birmingham Bears,"Edgbaston, Birmingham",,7,29.91428571,25.28571429,6.955418275,0,2
,JJ Cobb,Northamptonshire,Birmingham Bears,"Edgbaston, Birmingham",,4,3.166666667,2,9.375,0,0
,DR Briggs,Birmingham Bears,Northamptonshire,"Edgbaston, Birmingham",,26,26.09723353,28.52738208,6.012601233,2,1
,RM Yates,Birmingham Bears,Northamptonshire,"Edgbaston, Birmingham",,10,19.37142857,34.85714286,5.365366003,0,1
,CR Brathwaite,Birmingham Bears,Northamptonshire,"Edgbaston, Birmingham",,26,15.81561434,12.16245738,7.79931142,1,0
,CN Miles,Birmingham Bears,Northamptonshire,"Edgbaston, Birmingham",,21,33.92930629,40.37983005,6.616148863,2,1
,JB Lintott,Birmingham Bears,Northamptonshire,"Edgbaston, Birmingham",,10,11.6825,9.7125,6.765291498,1,2
,WMH Rhodes,Birmingham Bears,Northamptonshire,"Edgbaston, Birmingham",,21,14.52796674,24.1074452,5.208013958,3,3
,SJ Cook,Essex,Middlesex,"County Ground, Chelmsford",,20,20.72238456,37.94145022,5.524108656,5,2
,ASS Nijjar,Essex,Middlesex,"County Ground, Chelmsford",,22,28.72564935,32.22727273,6.264451134,0,1
,S Snater,Essex,Middlesex,"County Ground, Chelmsford",,12,35.63073192,36.89462081,5.682915772,2,0
,DW Lawrence,Essex,Middlesex,"County Ground, Chelmsford",,11,20.3625,33.24375,6.744130587,0,0
,JDS Neesham,Essex,Middlesex,"County Ground, Chelmsford",,24,15.177,13.42646154,7.562688768,1,1
,SR Harmer,Essex,Middlesex,"County Ground, Chelmsford",,32,20.85567941,35.3563261,4.954862558,6,1
,Mujeeb Ur Rahman,Middlesex,Essex,"County Ground, Chelmsford",,16,17.4296875,17.99739583,6.901726091,0,2
,TG Helm,Middlesex,Essex,"County Ground, Chelmsford",,10,21.03,29.4425,6.046313545,0,0
,BC Cullen,Middlesex,Essex,"County Ground, Chelmsford",,14,16.32324735,22.28488757,8.552543809,2,2
,ST Finn,Middlesex,Essex,"County Ground, Chelmsford",,14,22.29583333,19.14583333,8.191242091,3,3
,NA Sowter,Middlesex,Essex,"County Ground, Chelmsford",,13,20.46688034,29.96688034,6.234812623,0,1
,LBK Hollman,Middlesex,Essex,"County Ground, Chelmsford",,15,12.65780423,16.88082011,6.498538171,1,1
,DA Payne,Gloucestershire,Somerset,"The Cooper Associates County Ground, Taunton",,14,27.55190476,39.24309524,6.093321202,1,2
,DJ Worrall,Gloucestershire,Somerset,"The Cooper Associates County Ground, Taunton",,24,25.95942982,38.68873355,5.87359037,3,0
,J Shaw,Gloucestershire,Somerset,"The Cooper Associates County Ground, Taunton",,21,23.66666667,26.32738095,6.828635271,2,0
,BAC Howell,Gloucestershire,Somerset,"The Cooper Associates County Ground, Taunton",,11,14.19372294,10.27272727,8.268660287,2,2
,TMJ Smith,Gloucestershire,Somerset,"The Cooper Associates County Ground, Taunton",,24,38.41436638,64.85707833,5.610508608,0,0
,RF Higgins,Gloucestershire,Somerset,"The Cooper Associates County Ground, Taunton",,17,25.54709156,43.87340391,5.886255995,2,3
,C Overton,Somerset,Gloucestershire,"The Cooper Associates County Ground, Taunton",,19,20.20805921,32.21710526,5.039317579,1,2
,JA Brooks,Somerset,Gloucestershire,"The Cooper Associates County Ground, Taunton",,11,27.43636364,37.14545455,6.534414345,0,1
,M de Lange,Somerset,Gloucestershire,"The Cooper Associates County Ground, Taunton",,19,27.46728801,34.48878838,6.074348656,1,0
,BGF Green,Somerset,Gloucestershire,"The Cooper Associates County Ground, Taunton",,10,19.9125,23.325,6.021150057,1,2
,LP Goldsworthy,Somerset,Gloucestershire,"The Cooper Associates County Ground, Taunton",,17,16.45833333,16.08823529,6.336567961,0,0
,RE van der Merwe,Somerset,Gloucestershire,"The Cooper Associates County Ground, Taunton",,6,4.916666667,12.47222222,5.148957524,1,1
,CF Parkinson,Leicestershire,Worcestershire,"Grace Road, Leicester",,21,39.81746032,49.22420635,6.147264965,2,1
,Naveen-ul-Haq,Leicestershire,Worcestershire,"Grace Road, Leicester",,16,19.85416667,14.95833333,7.909656629,1,2
,CN Ackermann,Leicestershire,Worcestershire,"Grace Road, Leicester",,19,21.36527032,23.62352309,7.288558348,0,1
,GT Griffiths,Leicestershire,Worcestershire,"Grace Road, Leicester",,20,41.835625,41.46375,8.088621649,1,1
,AM Lilley,Leicestershire,Worcestershire,"Grace Road, Leicester",,14,20.69929453,24.19488536,7.475854741,0,1
,BWM Mike,Leicestershire,Worcestershire,"Grace Road, Leicester",,22,32.62980982,44.65726291,7.815714172,2,0
,BJ Dwarshuis,Worcestershire,Leicestershire,"Grace Road, Leicester",,20,18.27760417,12.83333333,9.200012214,1,0
,DY Pennington,Worcestershire,Leicestershire,"Grace Road, Leicester",,16,29.87883113,50.06159856,6.495551585,2,2
,CAJ Morris,Worcestershire,Leicestershire,"Grace Road, Leicester",,23,29.71263636,32.85548485,7.142805026,0,0
,IS Sodhi,Worcestershire,Leicestershire,"Grace Road, Leicester",,22,16.51058201,14.02116402,7.911523126,4,0
,DKH Mitchell,Worcestershire,Leicestershire,"Grace Road, Leicester",,11,24.275,28.625,6.292590982,0,1
,BL D'Oliveira,Worcestershire,Leicestershire,"Grace Road, Leicester",,21,30.62231435,57.26281979,4.430422334,0,0
,EG Barnard,Worcestershire,Leicestershire,"Grace Road, Leicester",,28,28.39854571,48.09206114,6.278399981,1,0
2021-08-24,GHS Garton,Sussex,Yorkshire,"Riverside Ground, Chester-le-Street",,11,20.72839506,30.09259259,5.661036192,1,1
,AC Lenham,Sussex,Yorkshire,"Riverside Ground, Chester-le-Street",,14,26.60857372,24.81850962,7.312648424,2,1
,TS Mills,Sussex,Yorkshire,"Riverside Ground, Chester-le-Street",,7,16.70833333,14.16666667,9.322380952,0,3
,Rashid Khan,Sussex,Yorkshire,"Riverside Ground, Chester-le-Street",,17,20.26035141,21.74904507,5.670257046,2,1
,WAT Beer,Sussex,Yorkshire,"Riverside Ground, Chester-le-Street",,18,19.84719645,22.08178726,6.508747795,0,0
,CJ Jordan,Sussex,Yorkshire,"Riverside Ground, Chester-le-Street",,16,21.68924825,17.98441142,8.138784745,0,1
,DJ Willey,Yorkshire,Sussex,"Riverside Ground, Chester-le-Street",,16,23.85960537,30.04463809,5.96209495,1,0
,A Lyth,Yorkshire,Sussex,"Riverside Ground, Chester-le-Street",,6,3.6,3.6,10.31501832,0,0
,MD Fisher,Yorkshire,Sussex,"Riverside Ground, Chester-le-Street",,11,26.93602694,22.53102453,8.181168831,0,1
,MJ Waite,Yorkshire,Sussex,"Riverside Ground, Chester-le-Street",,19,20.23114551,16.30308359,7.72774514,1,0
,AU Rashid,Yorkshire,Sussex,"Riverside Ground, Chester-le-Street",,20,22.32328307,19.99392593,7.111248703,1,1
,JA Thompson,Yorkshire,Sussex,"Riverside Ground, Chester-le-Street",,19,25.84787088,41.3956044,6.8097372,1,3
2021-08-25,SR Patel,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",,15,16.89166667,14.23571429,6.861099415,0,1
,M Carter,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",,13,18.56239316,15.58461538,7.822510121,0,2
,LJ Fletcher,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",,23,22.96538124,37.74330223,6.380048539,4,1
,D Paterson,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",,17,28.14835934,37.1187475,6.147550565,1,3
,CG Harrison,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",,11,14.21969697,10.53030303,6.771291866,1,2
,SJ Mullaney,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",,15,22.90632479,30.64410256,6.691111111,0,0
,CP Wood,Hampshire,Nottinghamshire,"Trent Bridge, Nottingham",,9,17.41666667,14.91666667,7.781358525,0,1
,LA Dawson,Hampshire,Nottinghamshire,"Trent Bridge, Nottingham",,13,38.66025641,65.64102564,5.205066177,0,3
