date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
,L Gregory,Brisbane Heat,Sydney Sixers,Brisbane Cricket Ground,,0,0,0,0,0,1
,MP Kuhnemann,Brisbane Heat,Sydney Sixers,Brisbane Cricket Ground,,0,0,0,0,0,0
,JJ Bazley,Brisbane Heat,Sydney Sixers,Brisbane Cricket Ground,,0,0,0,0,0,0
,JM Bird,Sydney Sixers,Brisbane Heat,Brisbane Cricket Ground,,1,0,0,8.4,0,1
,SNJ O'Keefe,Sydney Sixers,Brisbane Heat,Brisbane Cricket Ground,,1,16.5,12,8.25,0,0
,BJ Dwarshuis,Sydney Sixers,Brisbane Heat,Brisbane Cricket Ground,,2,13.33333333,8,11,0,2
,DT Christian,Sydney Sixers,Brisbane Heat,Brisbane Cricket Ground,,2,23,18,8.102564103,0,2
,BAD Manenti,Sydney Sixers,Brisbane Heat,Brisbane Cricket Ground,,1,0,0,11,0,0
,CR Brathwaite,Sydney Sixers,Brisbane Heat,Brisbane Cricket Ground,,2,0,0,9,0,1
2021-01-05,Imad Wasim,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,1,28,24,7,0,2
,KW Richardson,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,1,41,27,9.111111111,0,2
,JK Lalor,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,0,0,0,0,0,0
,Noor Ahmad,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,1,0,0,8.4,0,0
,Mohammad Nabi,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,1,0,0,9,0,1
,JA Prestwidge,Melbourne Renegades,Adelaide Strikers,Adelaide Oval,,1,10,10,6,0,0
,HNA Conway,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,1,0,0,9,0,1
,PM Siddle,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,1,0,0,9.12,0,3
,WA Agar,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,1,43,25,10.32,0,3
,Rashid Khan,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,1,12,12,6,0,1
,MT Renshaw,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,1,0,0,8,0,0
,DR Briggs,Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,1,38,24,9.5,0,2
2021-01-22,RP Meredith,Hobart Hurricanes,Perth Scorchers,Docklands Stadium,,1,60,27,13.33333333,0,0
,SM Boland,Hobart Hurricanes,Perth Scorchers,Docklands Stadium,,1,11.5,12,5.75,0,0
,NT Ellis,Hobart Hurricanes,Perth Scorchers,Docklands Stadium,,1,12,8,9,0,4
,WG Jacks,Hobart Hurricanes,Perth Scorchers,Docklands Stadium,,0,0,0,0,0,1
,S Lamichhane,Hobart Hurricanes,Perth Scorchers,Docklands Stadium,,1,12,12,6,0,2
,DJM Short,Hobart Hurricanes,Perth Scorchers,Docklands Stadium,,1,0,0,14,0,1
,JA Richardson,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,1,5,8,3.75,0,4
,JP Behrendorff,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,1,16,12,8,0,2
,AJ Turner,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,0,0,0,0,0,0
,AJ Tye,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,1,5,5.5,5.454545455,1,1
,Fawad Ahmed,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,1,17,18,5.666666667,0,0
,LS Livingstone,Perth Scorchers,Hobart Hurricanes,Docklands Stadium,,0,0,0,0,0,1
